Winner,Score,Rounds,Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart
Player 41,10200,16,,,,,
Player 46,10250,13,,,,,
Player 52,10650,17,,,,,
Player 60,10000,21,,,,,
Player 65,11500,15,,,,,
Player 70,10100,18,,,,,
Player 73,10150,12,,,,,
Player 79,10200,20,,,,,
Player 83,10950,18,,,,,
Player 86,12800,17,,,,,
Player 94,11750,17,,,,,
Player 100,10850,18,,,,,
Player 102,10350,24,,,,,
Player 107,10100,17,,,,,
Player 114,10000,18,,,,,
Player 120,10400,13,,,,,
Player 124,11050,15,,,,,
Player 126,11750,17,,,,,
Player 134,10050,16,,,,,
Player 137,11200,15,,,,,
Player 142,10300,15,,,,,
Player 150,10600,15,,,,,
Player 154,11650,30,,,,,
Player 158,10250,13,,,,,
Player 163,10300,25,,,,,
Player 170,10350,15,,,,,
Player 173,11000,12,,,,,
Player 180,10400,19,,,,,
Player 185,10450,17,,,,,
Player 190,10450,19,,,,,
Player 193,12900,16,,,,,
Player 200,10350,11,,,,,
Player 202,11900,13,,,,,
Player 210,10050,22,,,,,
Player 215,11150,23,,,,,
Player 218,16100,22,,,,,
Player 221,10050,12,,,,,
Player 226,10100,18,,,,,
Player 231,10250,20,,,,,
Player 240,10200,20,,,,,
Player 242,11450,20,,,,,
Player 248,12150,22,,,,,
Player 252,10400,13,,,,,
Player 260,10950,18,,,,,
Player 265,11250,17,,,,,
Player 268,10100,20,,,,,
Player 271,10200,15,,,,,
Player 278,10400,17,,,,,
Player 285,10600,22,,,,,
Player 290,10300,17,,,,,
Player 292,11000,13,,,,,
Player 296,10150,15,,,,,
Player 303,10500,15,,,,,
Player 308,10200,15,,,,,
Player 313,10550,18,,,,,
Player 317,10250,14,,,,,
Player 322,11100,16,,,,,
Player 328,11250,19,,,,,
Player 332,10550,10,,,,,
Player 340,12150,23,,,,,
Player 341,10900,16,,,,,
Player 346,11400,16,,,,,
Player 355,10150,20,,,,,
Player 357,10200,16,,,,,
Player 364,10200,10,,,,,
Player 366,10900,18,,,,,
Player 375,10500,15,,,,,
Player 380,10400,23,,,,,
Player 384,11800,20,,,,,
Player 387,10100,17,,,,,
Player 394,10250,19,,,,,
Player 400,10650,13,,,,,
Player 401,10550,20,,,,,
Player 406,10050,18,,,,,
Player 411,11200,18,,,,,
Player 416,10650,21,,,,,
Player 424,10700,17,,,,,
Player 430,10100,12,,,,,
Player 431,10150,15,,,,,
Player 437,10150,15,,,,,
Player 445,10250,27,,,,,
Player 447,10000,17,,,,,
Player 452,10350,12,,,,,
Player 459,10100,14,,,,,
Player 464,10250,20,,,,,
Player 470,10800,23,,,,,
Player 474,12950,20,,,,,
Player 478,10250,8,,,,,
Player 485,10450,22,,,,,
Player 486,11450,15,,,,,
Player 494,10950,18,,,,,
Player 500,10050,19,,,,,
Player 502,10100,21,,,,,
Player 506,10600,20,,,,,
Player 515,10450,21,,,,,
Player 518,10800,17,,,,,
Player 523,10150,21,,,,,
Player 530,10000,8,,,,,
Player 531,10700,14,,,,,
Player 539,12800,19,,,,,
Player 541,10750,19,,,,,
Player 546,10100,20,,,,,
Player 552,10300,18,,,,,
Player 560,11100,20,,,,,
Player 562,10250,10,,,,,
Player 570,10050,21,,,,,
Player 571,11350,18,,,,,
Player 578,10750,18,,,,,
Player 583,10000,14,,,,,
Player 590,10350,13,,,,,
Player 594,10600,18,,,,,
Player 600,10650,17,,,,,
Player 604,10600,18,,,,,
Player 610,10150,14,,,,,
Player 614,10000,18,,,,,
Player 617,10350,16,,,,,
Player 623,10850,12,,,,,
Player 626,10400,18,,,,,
Player 632,10000,17,,,,,
Player 636,11450,12,,,,,
Player 642,10100,18,,,,,
Player 648,10450,20,,,,,
Player 653,10300,22,,,,,
Player 658,10200,14,,,,,
Player 661,10300,25,,,,,
Player 669,11800,23,,,,,
Player 673,11600,20,,,,,
Player 680,10000,15,,,,,
Player 682,10100,14,,,,,
Player 689,10100,16,,,,,
Player 693,10050,13,,,,,
Player 699,11050,15,,,,,
Player 701,10250,17,,,,,
Player 710,10050,20,,,,,
Player 712,10200,16,,,,,
Player 716,10350,17,,,,,
Player 724,12000,20,,,,,
Player 727,10300,17,,,,,
Player 733,10050,22,,,,,
Player 740,10150,10,,,,,
Player 743,10550,21,,,,,
Player 747,11450,14,,,,,
Player 755,11050,11,,,,,
Player 757,10050,20,,,,,
Player 765,10050,19,,,,,
Player 768,10100,11,,,,,
Player 773,11500,19,,,,,
Player 778,10250,17,,,,,
Player 782,10550,14,,,,,
Player 789,10300,16,,,,,
Player 792,10100,17,,,,,
Player 798,11850,19,,,,,
Player 1,11950,18,,,,,
Player 10,10200,11,,,,,
Player 15,10700,17,,,,,
Player 20,12500,22,,,,,
Player 23,13050,15,,,,,
Player 29,10150,19,,,,,
Player 31,10500,22,,,,,
Player 36,10050,15,,,,,
Player 42,10350,17,,,,,
Player 46,10100,18,,,,,
Player 55,10250,14,,,,,
Player 57,10300,17,,,,,
Player 64,10400,16,,,,,
Player 70,10250,18,,,,,
Player 71,10400,15,,,,,
Player 77,10800,18,,,,,
Player 82,11300,15,,,,,
Player 90,10150,15,,,,,
Player 94,10450,22,,,,,
Player 96,10350,22,,,,,
